SessionNumber,SessionStartedOn,SessionEndedOn,MemberCount,NonVoting,Majority,Speaker_ID,HouseSpeaker,
109,2005-01-03,2007-01-03,435,5,Republican,HaJ-IL14,Dennis Hastert,
110,2007-01-03,2009-01-03,435,5,Democratic,PeN-CA11,Nancy Pelosi,
111,2009-01-03,2011-01-03,435,6,Democratic,PeN-CA11,Nancy Pelosi,
112,2011-01-03,2013-01-03,435,6,Republican,BoJ-OH08,John Boehner,
113,2013-01-03,2015-01-03,435,6,Republican,BoJ-OH08,John Boehner,
114,2015-01-03,2017-01-03,435,6,Republican,BoJ-OH08,John Boehner,
115,2017-01-03,2019-01-03,435,6,Republican,RyP-WI01,Paul Ryan,
116,2019-01-03,2021-01-03,435,6,Democratic,PeN-CA11,Nancy Pelosi,
117,2021-01-03,2023-01-03,435,6,Democratic,PeN-CA11,Nancy Pelosi,
118,2023-01-03,2025-01-03,435,6,Republican,McK-CA20,Kevin McCarthy,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
