UniqueID,URL,RefName,Name,Gender,DOB,State,District,StateDistID,Combined,FirstSession,Second Session,Third Session,Congress109,Congress110,Congress111,Congress112,Congress113,Congress114,Congress115,Congress116,Congress117,Congress118
DiJ-MI12,https://www.congress.gov/member/john-dingell/D000355,"Dingell, John D. - Representative","Dingell, John D.",M,07/08/26,Michigan,12,2812,MI12,1955-2015,,,109,110,111,112,113,,,,,
CoJ-MI13,https://www.congress.gov/member/john-conyers/C000714,"Conyers, John, Jr. - Representative","Conyers, John, Jr.",M,05/16/29,Michigan,13,2813,MI13,1965-2017,,,109,110,111,112,113,114,,,,
ObD-WI07,https://www.congress.gov/member/david-obey/O000007,"Obey, David R. - Representative","Obey, David R.",M,,Wisconsin,07,5607,WI07,1969-2011,,,109,110,111,,,,,,,
YoC-FL13,https://www.congress.gov/member/c-w-young/Y000031,"Young, C. W. Bill - Representative","Young, C. W. Bill",M,12/16/30,Florida,13,1313,FL13,1971-2013,,,109,110,111,112,,,,,,
RaC-NY13,https://www.congress.gov/member/charles-rangel/R000053,"Rangel, Charles B. - Representative","Rangel, Charles B.",M,,New York,13,3813,NY13,1971-2017,,,109,110,111,112,113,114,,,,
ReR-OH16,https://www.congress.gov/member/ralph-regula/R000141,"Regula, Ralph - Representative","Regula, Ralph",M,,Ohio,16,4216,OH16,1973-2009,,,109,110,,,,,,,,
MuJ-PA12,https://www.congress.gov/member/john-murtha/M001120,"Murtha, John P. - Representative","Murtha, John P.",M,,Pennsylvania,12,4612,PA12,1973-2010,,,109,110,111,,,,,,,
StF-CA13,https://www.congress.gov/member/pete-stark/S000810,"Stark, Fortney Pete - Representative","Stark, Fortney Pete",,,California,13,0813,CA13,1973-2013,,,109,110,111,112,,,,,,
YoD-AK00,https://www.congress.gov/member/don-young/Y000033,"Young, Don - Representative","Young, Don",,,Alaska,00,0200,AK00,1973-2022,,,109,110,111,112,113,114,115,116,117,
HyH-IL06,https://www.congress.gov/member/henry-hyde/H001022,"Hyde, Henry J. - Representative","Hyde, Henry J.",M,04/18/24,Illinois,06,1906,IL06,1975-2007,,,109,,,,,,,,,
ObJ-MN08,https://www.congress.gov/member/james-oberstar/O000006,"Oberstar, James L. - Representative","Oberstar, James L.",M,09/10/34,Minnesota,08,2908,MN08,1975-2011,,,109,110,111,,,,,,,
MiG-CA11,https://www.congress.gov/member/george-miller/M000725,"Miller, George - Representative","Miller, George",,,California,11,0811,CA11,1975-2015,,,109,110,111,112,113,,,,,
WaH-CA33,https://www.congress.gov/member/henry-waxman/W000215,"Waxman, Henry A. - Representative","Waxman, Henry A.",,,California,33,0833,CA33,1975-2015,,,109,110,111,112,113,,,,,
LeJ-IA02,https://www.congress.gov/member/jim-leach/L000169,"Leach, James A. - Representative","Leach, James A.",M,10/15/42,Iowa,02,2102,IA02,1977-2007,,,109,,,,,,,,,
SkI-MO04,https://www.congress.gov/member/ike-skelton/S000465,"Skelton, Ike - Representative","Skelton, Ike",M,12/20/31,Missouri,04,3104,MO04,1977-2011,,,109,110,111,,,,,,,
KiD-MI05,https://www.congress.gov/member/dale-kildee/K000172,"Kildee, Dale E. - Representative","Kildee, Dale E.",M,09/16/29,Michigan,05,2805,MI05,1977-2013,,,109,110,111,112,,,,,,
DiN-WA06,https://www.congress.gov/member/norman-dicks/D000327,"Dicks, Norman D. - Representative","Dicks, Norman D.",M,,Washington,06,5406,WA06,1977-2013,,,109,110,111,112,,,,,,
MaE-MA07,https://www.congress.gov/member/edward-markey/M000133,"Markey, Edward J. - Senator","Markey, Edward J.",M,07/11/46,Massachusetts,07,2707,MA07,1977-2013,,,109,110,111,112,,,,,,
RaN-WV03,https://www.congress.gov/member/nick-rahall/R000011,"Rahall, Nick J., II - Representative","Rahall, Nick J., II",M,,West Virginia,03,5503,WV03,1977-2015,,,109,110,111,112,113,,,,,
SaM-MN05,https://www.congress.gov/member/martin-sabo/S000005,"Sabo, Martin Olav - Representative","Sabo, Martin Olav",M,02/28/38,Minnesota,05,2905,MN05,1979-2007,,,109,,,,,,,,,
ThW-CA22,https://www.congress.gov/member/william-thomas/T000188,"Thomas, William M. - Representative","Thomas, William M.",,,California,22,0822,CA22,1979-2007,,,109,,,,,,,,,
LeJ-CA41,https://www.congress.gov/member/jerry-lewis/L000274,"Lewis, Jerry - Representative","Lewis, Jerry",M,10/21/34,California,41,0841,CA41,1979-2013,,,109,110,111,112,,,,,,
PeT-WI06,https://www.congress.gov/member/tom-petri/P000265,"Petri, Thomas E. - Representative","Petri, Thomas E.",M,,Wisconsin,06,5606,WI06,1979-2015,,,109,110,111,112,113,,,,,
SeF-WI05,https://www.congress.gov/member/f-sensenbrenner/S000244,"Sensenbrenner, F. James, Jr. - Representative","Sensenbrenner, F. James, Jr.",M,,Wisconsin,05,5605,WI05,1979-2021,,,109,110,111,112,113,114,115,116,,
OxM-OH04,https://www.congress.gov/member/michael-oxley/O000163,"Oxley, Michael G. - Representative","Oxley, Michael G.",M,,Ohio,04,4204,OH04,1981-2007,,,109,,,,,,,,,
ShE-FL22,https://www.congress.gov/member/e-shaw/S000303,"Shaw, E. Clay, Jr. - Representative","Shaw, E. Clay, Jr.",M,04/19/39,Florida,22,1322,FL22,1981-2007,,,109,,,,,,,,,
LaT-CA12,https://www.congress.gov/member/tom-lantos/L000090,"Lantos, Tom - Representative","Lantos, Tom",,,California,12,0812,CA12,1981-2008,,,109,110,,,,,,,,
HuD-CA52,https://www.congress.gov/member/duncan-hunter/H000981,"Hunter, Duncan - Representative","Hunter, Duncan",M,05/31/48,California,52,0852,CA52,1981-2009,,,109,110,,,,,,,,
FrB-MA04,https://www.congress.gov/member/barney-frank/F000339,"Frank, Barney - Representative","Frank, Barney",M,03/31/40,Massachusetts,04,2704,MA04,1981-2013,,,109,110,111,112,,,,,,
DrD-CA26,https://www.congress.gov/member/david-dreier/D000492,"Dreier, David - Representative","Dreier, David",,,California,26,0826,CA26,1981-2013,,,109,110,111,112,,,,,,
HaR-TX04,https://www.congress.gov/member/ralph-hall/H000067,"Hall, Ralph M. - Representative","Hall, Ralph M.",M,,Texas,04,5304,TX04,1981-2015,,,109,110,111,112,113,,,,,
WoF-VA10,https://www.congress.gov/member/frank-wolf/W000672,"Wolf, Frank R. - Representative","Wolf, Frank R.",M,,Virginia,10,5210,VA10,1981-2015,,,109,110,111,112,113,,,,,
SmC-NJ04,https://www.congress.gov/member/christopher-smith/S000522,"Smith, Christopher H. - Representative","Smith, Christopher H.",M,,New Jersey,04,3604,NJ04,1981-2024,,,109,110,111,112,113,114,115,116,117,118
RoH-KY05,https://www.congress.gov/member/harold-rogers/R000395,"Rogers, Harold - Representative","Rogers, Harold",M,12/31/37,Kentucky,05,2305,KY05,1981-2024,,,109,110,111,112,113,114,115,116,117,118
HoS-MD05,https://www.congress.gov/member/steny-hoyer/H000874,"Hoyer, Steny H. - Representative","Hoyer, Steny H.",M,06/14/39,Maryland,05,2605,MD05,1981-2024,,,109,110,111,112,113,114,115,116,117,118
