UniqueID,GovernmentURL,FullName,FirstName,LastName,Gender,DOB,Party,HouseTerms,State,StateAbr,District,CombStateDistrict,StateDistID,FirstSession,SecondSession,ThirdSession,Congress109,Congress110,Congress111,Congress112,Congress113,Congress114,Congress115,Congress116,Congress117,Congress118
ScA-IL18,https://www.congress.gov/member/aaron-schock/S001179,"Schock, Aaron",Aaron,Schock,M,05/28/81,Republican,House: 2009-2015,Illinois,IL,18,IL18,1718,2009-2015,,,0,0,111,112,113,0,0,0,0,0
FiA-IA01,https://www.congress.gov/member/abby-finkenauer/F000467,"Finkenauer, Abby",Abby,Finkenauer,F,12/27/88,Democratic,House: 2019-2021,Iowa,IA,01,IA01,1901,2019-2021,,,0,0,0,0,0,0,0,116,0,0
PuA-FL12,https://www.congress.gov/member/adam-putnam/P000586,"Putnam, Adam H.",Adam H.,Putnam,M,07/31/74,Republican,House: 2001-2011,Florida,FL,12,FL12,1212,2001-2011,,,109,110,111,0,0,0,0,0,0,0
LaJ-LA03,https://www.congress.gov/member/jeffrey-landry/L000574,"Landry, Jeffrey M.",Jeffrey M.,Landry,M,12/23/70,Republican,House: 2011-2013,Louisiana,LA,03,LA03,2203,2011-2013,,,0,0,0,112,0,0,0,0,0,0
GrT-AR02,https://www.congress.gov/member/tim-griffin/G000567,"Griffin, Tim",Tim,Griffin,M,08/21/68,Republican,House: 2011-2015,Arkansas,AR,02,AR02,0502,2011-2015,,,0,0,0,112,113,0,0,0,0,0
GrA-FL09,https://www.congress.gov/member/alan-grayson/G000556,"Grayson, Alan",Alan,Grayson,M,03/13/58,Democratic,"House: 2009-2011, 2013-2017",Florida,FL,09,FL09,1209,2009-2011,2013-2017,,0,0,111,0,113,114,0,0,0,0
NuA-MS01,https://www.congress.gov/member/alan-nunnelee/N000186,"Nunnelee, Alan",Alan,Nunnelee,M,10/09/58,Republican,House: 2011-2015,Mississippi,MS,01,MS01,2801,2011-2015,,,0,0,0,112,113,0,0,0,0,0
SiA-NJ08,https://www.congress.gov/member/albio-sires/S001165,"Sires, Albio",Albio,Sires,M,01/26/51,Democratic,House: 2005-2023,New Jersey,NJ,08,NJ08,3408,2005-2023,,,109,110,111,112,113,114,115,116,117,0
HaA-FL20,https://www.congress.gov/member/alcee-hastings/H000324,"Hastings, Alcee L.",Alcee L.,Hastings,M,09/05/36,Democratic,House: 1993-2021,Florida,FL,20,FL20,1220,1993-2021,,,109,110,111,112,113,114,115,116,0,0
LaA-FL05,https://www.congress.gov/member/al-lawson/L000586,"Lawson, Al, Jr.",Al,Lawson,M,09/23/48,Democratic,House: 2017-2023,Florida,FL,05,FL05,1205,2017-2023,,,0,0,0,0,0,0,115,116,117,0
WeA-FL22,https://www.congress.gov/member/allen-west/W000807,"West, Allen B.",Allen B.,West,M,02/07/61,Republican,House: 2011-2013,Florida,FL,22,FL22,1222,2011-2013,,,0,0,0,112,0,0,0,0,0,0
ScA-PA13,https://www.congress.gov/member/allyson-schwartz/S001162,"Schwartz, Allyson Y.",Allyson Y.,Schwartz,F,10/03/48,Democratic,House: 2005-2015,Pennsylvania,PA,13,PA13,4213,2005-2015,,,109,110,111,112,113,0,0,0,0,0
CrA-FL04,https://www.congress.gov/member/ander-crenshaw/C001045,"Crenshaw, Ander",Ander,Crenshaw,M,09/01/44,Republican,House: 2001-2017,Florida,FL,04,FL04,1204,2001-2017,,,109,110,111,112,113,114,0,0,0,0
BuA-NY25,https://www.congress.gov/member/ann-buerkle/B001276,"Buerkle, Ann Marie",Ann Marie,Buerkle,F,05/08/51,Republican,House: 2011-2013,New York,NY,25,NY25,3625,2011-2013,,,0,0,0,112,0,0,0,0,0,0
DaA-AL07,https://www.congress.gov/member/artur-davis/D000602,"Davis, Artur",Artur,Davis,M,10/09/67,Democratic,House: 2003-2011,Alabama,AL,07,AL07,0107,2003-2011,,,109,110,111,0,0,0,0,0,0,0
MiG-CA11,https://www.congress.gov/member/george-miller/M000725,"Miller, George",George,Miller,M,05/17/45,Democratic,House: 1975-2015,California,CA,11,CA11,0611,1975-2015,,,109,110,111,112,113,0,0,0,0,0
LoB-MO07,https://www.congress.gov/member/billy-long/L000576,"Long, Billy",Billy,Long,M,08/11/55,Republican,House: 2011-2023,Missouri,MO,07,MO07,2907,2011-2023,,,0,0,0,112,113,114,115,116,117,0
CoM-CO06,https://www.congress.gov/member/mike-coffman/C001077,"Coffman, Mike",Mike,Coffman,M,03/19/55,Republican,House: 2009-2019,Colorado,CO,06,CO06,0806,2009-2019,,,0,0,111,112,113,114,115,0,0,0
ScA-GA08,https://www.congress.gov/member/austin-scott/S001189,"Scott, Austin",Austin,Scott,M,12/10/69,Republican,House: 2011-Present,Georgia,GA,08,GA08,1308,2011-2024,,,0,0,0,112,113,114,115,116,117,118
AxC-IA03,https://www.congress.gov/member/cynthia-axne/A000378,"Axne, Cynthia",Cynthia,Axne,F,04/20/65,Democratic,House: 2019-2023,Iowa,IA,03,IA03,1903,2019-2023,,,0,0,0,0,0,0,0,116,117,0
BaS-AL06,https://www.congress.gov/member/spencer-bachus/B000013,"Bachus, Spencer",Spencer,Bachus,M,12/28/47,Republican,House: 1993-2015,Alabama,AL,06,AL06,0106,1993-2015,,,109,110,111,112,113,0,0,0,0,0
CoB-VA10,https://www.congress.gov/member/barbara-comstock/C001105,"Comstock, Barbara",Barbara,Comstock,F,06/30/59,Republican,House: 2015-2019,Virginia,VA,10,VA10,5110,2015-2019,,,0,0,0,0,0,114,115,0,0,0
FrB-MA04,https://www.congress.gov/member/barney-frank/F000339,"Frank, Barney",Barney,Frank,M,03/31/40,Democratic,House: 1981-2013,Massachusetts,MA,04,MA04,2504,1981-2013,,,109,110,111,112,0,0,0,0,0,0
HiB-IN09,https://www.congress.gov/member/baron-hill/H001030,"Hill, Baron P.",Baron P.,Hill,M,06/23/53,Democratic,"House: 1999-2005, 2007-2011",Indiana,IN,09,IN09,1809,2007-2011,,,0,110,111,0,0,0,0,0,0,0
McB-UT04,https://www.congress.gov/member/ben-mcadams/M001209,"McAdams, Ben",Ben,McAdams,M,12/05/74,Democratic,House: 2019-2021,Utah,UT,04,UT04,4904,2019-2021,,,0,0,0,0,0,0,0,116,0,0
ThB-MS02,https://www.congress.gov/member/bennie-thompson/T000193,"Thompson, Bennie G.",Bennie G.,Thompson,M,01/28/48,Democratic,House: 1993-Present,Mississippi,MS,02,MS02,2802,1993-2024,,,109,110,111,112,113,114,115,116,117,118
BeS-NV01,https://www.congress.gov/member/shelley-berkley/B001231,"Berkley, Shelley",Shelley,Berkley,F,01/20/51,Democratic,House: 1999-2013,Nevada,NV,01,NV01,3201,1999-2013,,,109,110,111,112,0,0,0,0,0,0
O'B-TX16,https://www.congress.gov/member/beto-o-rourke/O000170,"O'Rourke, Beto",Beto,O'Rourke,M,09/26/72,Democratic,House: 2013-2019,Texas,TX,16,TX16,4816,2013-2019,,,0,0,0,0,113,114,115,0,0,0
MaB-CO04,https://www.congress.gov/member/betsy-markey/M001172,"Markey, Betsy",Betsy,Markey,F,04/27/56,Democratic,House: 2009-2011,Colorado,CO,04,CO04,0804,2009-2011,,,0,0,111,0,0,0,0,0,0,0
