UniqueID,Name,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
ScA-IL18,"Schock, Aaron",aaronschock,3/1/2009,2009,,
FiA-IA01,"Finkenauer, Abby",Abby4Iowa,3/1/2015,2015,,
PuA-FL12,"Putnam, Adam H.",adamputnam,6/1/2009,2009,,
LaJ-LA03,"Landry, Jeffrey M.",AGJeffLandry,11/1/2010,2010,,
GrA-FL09,"Grayson, Alan",AlanGrayson,5/1/2009,2009,,
NuA-MS01,"Nunnelee, Alan",AlanNunnelee,4/1/2009,2009,,
HaA-FL20,"Hastings, Alcee L.",AlceeHastingsFL,11/1/2013,2013,,
LaA-FL05,"Lawson, Al, Jr.",AlLawsonJr,11/1/2009,2009,,
WeA-FL22,"West, Allen B.",AllenWest,1/1/2011,2011,,
ScA-PA13,"Schwartz, Allyson Y.",allysonschwartz,4/1/2013,2013,,
CrA-FL04,"Crenshaw, Ander",AnderCrenshaw,2/1/2009,2009,,
LoB-MO07,"Long, Billy",auctnr1,2/1/2009,2009,,
CoM-CO06,"Coffman, Mike",AuroraMayorMike,7/1/2019,2019,,
ScA-GA08,"Scott, Austin",AustinScottGA08,1/1/2011,2011,,
AxC-IA03,"Axne, Cynthia",Axne4Congress,5/1/2017,2017,,
CoB-VA10,"Comstock, Barbara",BarbaraComstock,5/1/2009,2009,,
FrB-MA04,"Frank, Barney",BarneyFrank,7/1/2013,2013,,
HiB-IN09,"Hill, Baron P.",BaronHill2016,2/1/2010,2010,,
McB-UT04,"McAdams, Ben",BenMcAdams,6/1/2009,2009,,
ThB-MS02,"Thompson, Bennie G.",BennieGThompson,1/1/2009,2009,,
O'B-TX16,"O'Rourke, Beto",BetoORourke,7/1/2011,2011,,
MaB-CO04,"Markey, Betsy",BetsyMarkey,6/1/2009,2009,,
McB-MN04,"McCollum, Betty",BettyMcCollum04,1/1/2012,2012,,
BiB-CA50,"Bilbray, Brian P.",BilbrayCA50,7/1/2009,2009,,
CaB-LA06,"Cassidy, Bill",BillCassidy,7/1/2009,2009,,
PaB-NJ09,"Pascrell, Bill, Jr.",BillPascrell,1/1/2009,2009,,
JiB-LA01,"Jindal, Bobby",BobbyJindal,10/1/2008,2008,,
RuB-IL01,"Rush, Bobby L.",BobbyLRush,5/1/2011,2011,,
ScR-VA03,"Scott, Robert C. ""Bobby""",BobbyScott,1/1/2010,2010,,
FiB-CA51,"Filner, Bob",bobfilner,9/1/2009,2009,,
InB-SC04,"Inglis, Bob",bobinglis,10/1/2008,2008,,
LaR-OH05,"Latta, Robert E.",boblatta,1/1/2008,2008,,
EtB-NC02,"Etheridge, Bob",bobretheridge,11/1/2010,2010,,
BoN-KS02,"Boyda, Nancy E.",BoydaNancy,5/1/2019,2019,,
ShB-CA32,"Sherman, Brad",BradSherman,1/1/2009,2009,,
BrK-TX08,"Brady, Kevin",bradyfortexas,5/1/2012,2012,,
LaB-MI14,"Lawrence, Brenda L.",BrendaLLawrence,7/1/2009,2009,,
PoB-ME02,"Poliquin, Bruce",BrucePoliquin,4/1/2009,2009,,
OtC-ID01,"Otter, C. L. (Butch)",ButchOtter,4/1/2009,2009,,
RuC-MD02,"Ruppersberger, C. A. Dutch",Call_Me_Dutch,1/1/2011,2011,,
MiC-MI10,"Miller, Candice S.",CandiceMiller,6/1/2008,2008,,
CuC-FL26,"Curbelo, Carlos",carloslcurbelo,10/1/2014,2014,,
BoC-GA07,"Bourdeaux, Carolyn",Carolyn4GA7,6/1/2017,2017,,
McC-WA05,"McMorris Rodgers, Cathy",cathymcmorris,1/1/2008,2008,,
EdC-TX17,"Edwards, Chet",CEdwardsTX,11/1/2016,2016,,
HaR-NC08,"Hayes, Robin",ChairmanHayes,1/1/2011,2011,,
CrC-FL13,"Crist, Charlie",CharlieCrist,5/1/2009,2009,,
PiC-ME01,"Pingree, Chellie",chelliepingree,6/1/2008,2008,,
CaC-UT03,"Cannon, Chris",chriscanno,1/1/2009,2009,,
ChC-IN02,"Chocola, Chris",ChrisChocola,7/1/2012,2012,,
MuC-CT05,"Murphy, Christopher",ChrisMurphyCT,5/1/2010,2010,,
VaC-MD08,"Van Hollen, Chris",ChrisVanHollen,12/1/2008,2008,,
GaJ-IL04,"Garcia, Jesus G. ""Chuy""",ChuyChicago,10/1/2014,2014,,
RoC-TX23,"Rodriguez, Ciro D.",CiroDRodriguez,6/1/2010,2010,,
PeC-MN07,"Peterson, Collin C.",collinpeterson,2/1/2010,2010,,
CoK-TX11,"Conaway, K. Michael",ConawayTX11,5/1/2011,2011,,
