UniqueID,FullName,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
ScA-IL18,"Schock, Aaron",aaronschock,2009-03-01,2009,,
FiA-IA01,"Finkenauer, Abby",Abby4Iowa,2015-03-01,2015,,
PuA-FL12,"Putnam, Adam H.",adamputnam,2009-06-01,2009,,
LaJ-LA03,"Landry, Jeffrey M.",AGJeffLandry,2010-11-01,2010,,
GrT-AR02,"Griffin, Tim",AGTimGriffin,2010-10-01,2010,,
GrA-FL09,"Grayson, Alan",AlanGrayson,2009-05-01,2009,,
NuA-MS01,"Nunnelee, Alan",AlanNunnelee,2009-04-01,2009,,
SiA-NJ08,"Sires, Albio",AlbioSiresNJ,2012-04-01,2012,,
HaA-FL20,"Hastings, Alcee L.",AlceeHastingsFL,2013-11-01,2013,,
LaA-FL05,"Lawson, Al, Jr.",AlLawsonJr,2009-11-01,2009,,
WeA-FL22,"West, Allen B.",AllenWest,2011-01-01,2011,,
ScA-PA13,"Schwartz, Allyson Y.",allysonschwartz,2013-04-01,2013,,
CrA-FL04,"Crenshaw, Ander",AnderCrenshaw,2009-02-01,2009,,
BuA-NY25,"Buerkle, Ann Marie",annmbuerkle,2010-11-01,2010,,
DaA-AL07,"Davis, Artur",ArturDavis,2009-01-01,2009,,
MiG-CA11,"Miller, George",askgeorge,2007-07-01,2007,,
LoB-MO07,"Long, Billy",auctnr1,2009-02-01,2009,,
CoM-CO06,"Coffman, Mike",AuroraMayorMike,2019-07-01,2019,,
ScA-GA08,"Scott, Austin",AustinScottGA08,2011-01-01,2011,,
AxC-IA03,"Axne, Cynthia",Axne4Congress,2017-05-01,2017,,
BaS-AL06,"Bachus, Spencer",BachusAL06,2009-09-01,2009,,
CoB-VA10,"Comstock, Barbara",BarbaraComstock,2009-05-01,2009,,
FrB-MA04,"Frank, Barney",BarneyFrank,2013-07-01,2013,,
HiB-IN09,"Hill, Baron P.",BaronHill2016,2010-02-01,2010,,
McB-UT04,"McAdams, Ben",BenMcAdams,2009-06-01,2009,,
ThB-MS02,"Thompson, Bennie G.",BennieGThompson,2009-01-01,2009,,
BeS-NV01,"Berkley, Shelley",Berkley4Senate,2011-04-01,2011,,
O'B-TX16,"O'Rourke, Beto",BetoORourke,2011-07-01,2011,,
MaB-CO04,"Markey, Betsy",BetsyMarkey,2009-06-01,2009,,
McB-MN04,"McCollum, Betty",BettyMcCollum04,2012-01-01,2012,,
SuB-OH13,"Sutton, Betty",BettySutton,2010-04-01,2010,,
BiB-CA50,"Bilbray, Brian P.",BilbrayCA50,2009-07-01,2009,,
CaB-LA06,"Cassidy, Bill",BillCassidy,2009-07-01,2009,,
OwW-NY21,"Owens, William L.",BillOwensNY,2010-12-01,2010,,
PaB-NJ09,"Pascrell, Bill, Jr.",BillPascrell,2009-01-01,2009,,
BrR-PA01,"Brady, Robert A.",BobBradyPHL,2010-05-01,2010,,
JiB-LA01,"Jindal, Bobby",BobbyJindal,2008-10-01,2008,,
RuB-IL01,"Rush, Bobby L.",BobbyLRush,2011-05-01,2011,,
ScR-VA03,"Scott, Robert C. ""Bobby""",BobbyScott,2010-01-01,2010,,
FiB-CA51,"Filner, Bob",bobfilner,2009-09-01,2009,,
InB-SC04,"Inglis, Bob",bobinglis,2008-10-01,2008,,
LaR-OH05,"Latta, Robert E.",boblatta,2008-01-01,2008,,
NeR-OH18,"Ney, Robert W.",bobney,2008-09-01,2008,,
EtB-NC02,"Etheridge, Bob",bobretheridge,2010-11-01,2010,,
BoN-KS02,"Boyda, Nancy E.",BoydaNancy,2019-05-01,2019,,
QuB-AZ03,"Quayle, Benjamin",bquayle,2010-02-01,2010,,
ByB-AL01,"Byrne, Bradley",BradleyByrne,2009-05-01,2009,,
ShB-CA32,"Sherman, Brad",BradSherman,2009-01-01,2009,,
BrK-TX08,"Brady, Kevin",bradyfortexas,2012-05-01,2012,,
LaB-MI14,"Lawrence, Brenda L.",BrendaLLawrence,2009-07-01,2009,,
PoB-ME02,"Poliquin, Bruce",BrucePoliquin,2009-04-01,2009,,
OtC-ID01,"Otter, C. L. (Butch)",ButchOtter,2009-04-01,2009,,
RuC-MD02,"Ruppersberger, C. A. Dutch",Call_Me_Dutch,2011-01-01,2011,,
MiC-MI10,"Miller, Candice S.",CandiceMiller,2008-06-01,2008,,
CuC-FL26,"Curbelo, Carlos",carloslcurbelo,2014-10-01,2014,,
BoC-GA07,"Bourdeaux, Carolyn",Carolyn4GA7,2017-06-01,2017,,
McC-WA05,"McMorris Rodgers, Cathy",cathymcmorris,2008-01-01,2008,,
RaC-NY13,"Rangel, Charles B.",cbrangel,2009-02-01,2009,,
EdC-TX17,"Edwards, Chet",CEdwardsTX,2016-11-01,2016,,
HaR-NC08,"Hayes, Robin",ChairmanHayes,2011-01-01,2011,,
McH-CA25,"McKeon, Howard P. ""Buck""",chairmanmckeon,2015-11-01,2015,,
FaC-PA02,"Fattah, Chaka",chakafattah,2009-06-01,2009,,
CrC-FL13,"Crist, Charlie",CharlieCrist,2009-05-01,2009,,
PiC-ME01,"Pingree, Chellie",chelliepingree,2008-06-01,2008,,
CaC-UT03,"Cannon, Chris",chriscanno,2009-01-01,2009,,
ChC-IN02,"Chocola, Chris",ChrisChocola,2012-07-01,2012,,
GiC-NY19,"Gibson, Christopher P.",ChrisGibsonNY,2010-03-01,2010,,
MuC-CT05,"Murphy, Christopher",ChrisMurphyCT,2010-05-01,2010,,
VaC-MD08,"Van Hollen, Chris",ChrisVanHollen,2008-12-01,2008,,
GaJ-IL04,"Garcia, Jesus G. ""Chuy""",ChuyChicago,2014-10-01,2014,,
RoC-TX23,"Rodriguez, Ciro D.",CiroDRodriguez,2010-06-01,2010,,
PeC-MN07,"Peterson, Collin C.",collinpeterson,2010-02-01,2010,,
CoP-CA08,"Cook, Paul",ColPaulCookRet,2013-01-01,2013,,
CoK-TX11,"Conaway, K. Michael",ConawayTX11,2011-05-01,2011,,
SaJ-NJ03,"Saxton, Jim",Cong_Jim_Saxton,2015-04-01,2015,,
PoB-FL08,"Posey, Bill",congbillposey,2009-03-01,2009,,
BoB-PA02,"Boyle, Brendan F.",CongBoyle,2015-11-01,2015,,
HuT-KS01,"Huelskamp, Tim",CongHuelskamp,2011-01-01,2011,,
SiM-ID02,"Simpson, Michael K.",CongMikeSimpson,2009-09-01,2009,,
PaS-MS04,"Palazzo, Steven M.",CongPalazzo,2011-05-01,2011,,
MeL-IN06,"Messer, Luke",Congress_LukeM,2013-04-01,2013,,
VaJ-NJ02,"Van Drew, Jefferson",Congressman_JVD,2011-12-01,2011,,
BeD-MI01,"Benishek, Dan",CongressmanDan,2011-01-01,2011,,
ThG-PA15,"Thompson, Glenn",CongressmanGT,2009-01-01,2009,,
HiJ-GA10,"Hice, Jody B.",CongressmanHice,2015-01-01,2015,,
KeT-NJ07,"Kean, Thomas H.",CongressmanKean,2022-12-01,2022,,
KrR-IL08,"Krishnamoorthi, Raja",CongressmanRaja,2016-01-01,2016,,
ChS-FL20,"Cherfilus-McCormick, Sheila",CongresswomanSC,2022-01-01,2022,,
RoS-NJ09,"Rothman, Steven R.",CongRothman,2011-09-01,2011,,
MaC-FL14,"Mack, Connie",ConnieMackIV,2009-03-01,2009,,
LaC-PA17,"Lamb, Conor",ConorLambPA,2017-04-01,2017,,
