uniqueid,fullname,gender,dob,party,stateabr,district,CongressSession,AgeWhenSessionStarted,sessionstartedon,sessionendedon,twitterhandle,joinedon,AgeWhenTwitterJoined,yearjoinedontwitter
McP-NC10,"McHenry, Patrick T.",M,1975-11-22,Republican,NC,10,109,29,2005-01-03,2007-01-03,PatrickMcHenry,2009-03-01,33,2009
PuA-FL12,"Putnam, Adam H.",M,1974-07-31,Republican,FL,12,109,30,2005-01-03,2007-01-03,adamputnam,2009-06-01,34,2009
RyT-OH13,"Ryan, Tim",M,1973-07-16,Democratic,OH,13,109,31,2005-01-03,2007-01-03,RepTimRyan,2008-02-01,34,2008
BoD-OK02,"Boren, Dan",M,1973-08-02,Democratic,OK,2,109,31,2005-01-03,2007-01-03,DanBorenOK,2020-04-01,46,2020
NuD-CA22,"Nunes, Devin",M,1973-10-01,Republican,CA,22,109,31,2005-01-03,2007-01-03,DevinNunes,2009-07-01,35,2009
JiB-LA01,"Jindal, Bobby",M,1971-06-10,Republican,LA,1,109,33,2005-01-03,2007-01-03,BobbyJindal,2008-10-01,37,2008
FoH-TN09,"Ford, Harold E., Jr.",M,1970-05-11,Democratic,TN,9,109,34,2005-01-03,2007-01-03,HaroldFordJr,2009-07-01,39,2009
HeS-SD00,"Herseth Sandlin, Stephanie",F,1970-12-03,Democratic,SD,0,109,34,2005-01-03,2007-01-03,StephanieforSD,2010-05-01,39,2010
RyP-WI01,"Ryan, Paul D.",M,1970-01-29,Republican,WI,1,109,34,2005-01-03,2007-01-03,SpeakerRyan,2009-01-01,38,2009
FeM-NJ07,"Ferguson, Mike",M,1970-06-22,Republican,NJ,7,109,34,2005-01-03,2007-01-03,,,,
McC-WA05,"McMorris Rodgers, Cathy",F,1969-05-22,Republican,WA,5,109,35,2005-01-03,2007-01-03,cathymcmorris,2008-01-01,38,2008
SaL-CA38,"Sanchez, Linda T.",F,1969-01-28,Democratic,CA,38,109,35,2005-01-03,2007-01-03,replindasanchez,2011-06-01,42,2011
DaA-AL07,"Davis, Artur",M,1967-10-09,Democratic,AL,7,109,37,2005-01-03,2007-01-03,ArturDavis,2009-01-01,41,2009
MaC-FL14,"Mack, Connie",M,1967-08-12,Republican,FL,14,109,37,2005-01-03,2007-01-03,ConnieMackIV,2009-03-01,41,2009
KeP-RI01,"Kennedy, Patrick J.",M,1967-07-14,Democratic,RI,1,109,37,2005-01-03,2007-01-03,PJK4brainhealth,2012-04-01,44,2012
MeK-FL17,"Meek, Kendrick B.",M,1966-09-06,Democratic,FL,17,109,38,2005-01-03,2007-01-03,KendrickMeek,2009-03-01,42,2009
LiD-IL03,"Lipinski, Daniel",M,1966-07-15,Democratic,IL,3,109,38,2005-01-03,2007-01-03,RepLipinski,2012-12-01,46,2012
WaD-FL25,"Wasserman Schultz, Debbie",F,1966-09-27,Democratic,FL,25,109,38,2005-01-03,2007-01-03,RepDWStweets,2013-02-01,46,2013
SmA-WA09,"Smith, Adam",M,1965-06-15,Democratic,WA,9,109,39,2005-01-03,2007-01-03,RepAdamSmith,2009-03-01,43,2009
AdR-AL04,"Aderholt, Robert B.",M,1965-07-22,Republican,AL,4,109,39,2005-01-03,2007-01-03,Robert_Aderholt,2009-09-01,44,2009
FoV-NY13,"Fossella, Vito",M,1965-03-09,Republican,NY,13,109,39,2005-01-03,2007-01-03,,,,
JaJ-IL02,"Jackson, Jesse L., Jr.",M,1965-03-11,Democratic,IL,2,109,39,2005-01-03,2007-01-03,,,,
McT-MI11,"McCotter, Thaddeus G.",M,1965-08-22,Republican,MI,11,109,39,2005-01-03,2007-01-03,,,,
SuJ-OK01,"Sullivan, John",M,1965-01-01,Republican,OK,1,109,40,2005-01-03,2007-01-03,TEAMSullivan,2009-11-01,44,2009
KeR-FL08,"Keller, Ric",M,1964-09-05,Republican,FL,8,109,40,2005-01-03,2007-01-03,keller_ric,2019-02-01,54,2019
WeA-NY09,"Weiner, Anthony D.",M,1964-09-04,Democratic,NY,9,109,40,2005-01-03,2007-01-03,,,,
LaJ-RI02,"Langevin, James R.",M,1964-04-22,Democratic,RI,2,109,40,2005-01-03,2007-01-03,JimLangevin,2009-01-01,44,2009
CaE-VA07,"Cantor, Eric",M,1963-06-06,Republican,VA,7,109,41,2005-01-03,2007-01-03,EricCantor,2009-01-01,45,2009
KiR-WI03,"Kind, Ron",M,1963-03-16,Democratic,WI,3,109,41,2005-01-03,2007-01-03,RepRonKind,2010-02-01,46,2010
GrS-MO06,"Graves, Sam",M,1963-11-07,Republican,MO,6,109,41,2005-01-03,2007-01-03,RepSamGraves,2009-04-01,45,2009
