uniqueid,fullname,gender,dob,party,stateabr,district,statedistid,congress109,congress110,congress111,congress112,congress113,congress114,congress115,congress116,congress117,congress118,twitterhandle,joinedon,yearjoined,AgeWhenTwitterJoined
FiA-IA01,"Finkenauer, Abby",F,1988-12-27,Democratic,IA,1,1901,0,0,0,0,0,0,0,116,0,0,Abby4Iowa,2015-03-01,2015,26
GrA-FL09,"Grayson, Alan",M,1958-03-13,Democratic,FL,9,1209,0,0,111,0,113,114,0,0,0,0,AlanGrayson,2009-05-01,2009,51
SiA-NJ08,"Sires, Albio",M,1951-01-26,Democratic,NJ,8,3408,109,110,111,112,113,114,115,116,117,0,AlbioSiresNJ,2012-04-01,2012,61
HaA-FL20,"Hastings, Alcee L.",M,1936-09-05,Democratic,FL,20,1220,109,110,111,112,113,114,115,116,0,0,AlceeHastingsFL,2013-11-01,2013,77
LaA-FL05,"Lawson, Al, Jr.",M,1948-09-23,Democratic,FL,5,1205,0,0,0,0,0,0,115,116,117,0,AlLawsonJr,2009-11-01,2009,61
ScA-PA13,"Schwartz, Allyson Y.",F,1948-10-03,Democratic,PA,13,4213,109,110,111,112,113,0,0,0,0,0,allysonschwartz,2013-04-01,2013,64
DaA-AL07,"Davis, Artur",M,1967-10-09,Democratic,AL,7,0107,109,110,111,0,0,0,0,0,0,0,ArturDavis,2009-01-01,2009,41
MiG-CA11,"Miller, George",M,1945-05-17,Democratic,CA,11,0611,109,110,111,112,113,0,0,0,0,0,askgeorge,2007-07-01,2007,62
AxC-IA03,"Axne, Cynthia",F,1965-04-20,Democratic,IA,3,1903,0,0,0,0,0,0,0,116,117,0,Axne4Congress,2017-05-01,2017,52
FrB-MA04,"Frank, Barney",M,1940-03-31,Democratic,MA,4,2504,109,110,111,112,0,0,0,0,0,0,BarneyFrank,2013-07-01,2013,73
HiB-IN09,"Hill, Baron P.",M,1953-06-23,Democratic,IN,9,1809,0,110,111,0,0,0,0,0,0,0,BaronHill2016,2010-02-01,2010,56
McB-UT04,"McAdams, Ben",M,1974-12-05,Democratic,UT,4,4904,0,0,0,0,0,0,0,116,0,0,BenMcAdams,2009-06-01,2009,34
ThB-MS02,"Thompson, Bennie G.",M,1948-01-28,Democratic,MS,2,2802,109,110,111,112,113,114,115,116,117,118,BennieGThompson,2009-01-01,2009,60
BeS-NV01,"Berkley, Shelley",F,1951-01-20,Democratic,NV,1,3201,109,110,111,112,0,0,0,0,0,0,Berkley4Senate,2011-04-01,2011,60
O'B-TX16,"O''Rourke, Beto",M,1972-09-26,Democratic,TX,16,4816,0,0,0,0,113,114,115,0,0,0,BetoORourke,2011-07-01,2011,38
MaB-CO04,"Markey, Betsy",F,1956-04-27,Democratic,CO,4,0804,0,0,111,0,0,0,0,0,0,0,BetsyMarkey,2009-06-01,2009,53
McB-MN04,"McCollum, Betty",F,1954-07-12,Democratic,MN,4,2704,109,110,111,112,113,114,115,116,117,118,BettyMcCollum04,2012-01-01,2012,57
SuB-OH13,"Sutton, Betty",F,1963-07-31,Democratic,OH,13,3913,0,110,111,112,0,0,0,0,0,0,BettySutton,2010-04-01,2010,46
OwW-NY21,"Owens, William L.",M,1949-01-20,Democratic,NY,21,3621,0,0,111,112,113,0,0,0,0,0,BillOwensNY,2010-12-01,2010,61
PaB-NJ09,"Pascrell, Bill, Jr.",M,1937-01-25,Democratic,NJ,9,3409,109,110,111,112,113,114,115,116,117,118,BillPascrell,2009-01-01,2009,71
BrR-PA01,"Brady, Robert A.",M,1945-04-07,Democratic,PA,1,4201,109,110,111,112,113,114,115,0,0,0,BobBradyPHL,2010-05-01,2010,65
RuB-IL01,"Rush, Bobby L.",M,1946-11-23,Democratic,IL,1,1701,109,110,111,112,113,114,115,116,117,0,BobbyLRush,2011-05-01,2011,64
ScR-VA03,"Scott, Robert C. Bobby",M,1947-04-30,Democratic,VA,3,5103,109,110,111,112,113,114,115,116,117,118,BobbyScott,2010-01-01,2010,62
FiB-CA51,"Filner, Bob",M,1942-09-04,Democratic,CA,51,0651,109,110,111,112,0,0,0,0,0,0,bobfilner,2009-09-01,2009,67
EtB-NC02,"Etheridge, Bob",M,1941-08-07,Democratic,NC,2,3702,109,110,111,0,0,0,0,0,0,0,bobretheridge,2010-11-01,2010,69
BoN-KS02,"Boyda, Nancy E.",F,1955-08-02,Democratic,KS,2,2002,0,110,0,0,0,0,0,0,0,0,BoydaNancy,2019-05-01,2019,63
ShB-CA32,"Sherman, Brad",M,1954-10-24,Democratic,CA,32,0632,109,110,111,112,113,114,115,116,117,118,BradSherman,2009-01-01,2009,54
LaB-MI14,"Lawrence, Brenda L.",F,1954-10-18,Democratic,MI,14,2614,0,0,0,0,0,114,115,116,117,0,BrendaLLawrence,2009-07-01,2009,54
RuC-MD02,"Ruppersberger, C. A. Dutch",M,1946-01-31,Democratic,MD,2,2402,109,110,111,112,113,114,115,116,117,118,Call_Me_Dutch,2011-01-01,2011,64
BoC-GA07,"Bourdeaux, Carolyn",F,1970-06-03,Democratic,GA,7,1307,0,0,0,0,0,0,0,0,117,0,Carolyn4GA7,2017-06-01,2017,47
RaC-NY13,"Rangel, Charles B.",M,1930-06-11,Democratic,NY,13,3613,109,110,111,112,113,114,0,0,0,0,cbrangel,2009-02-01,2009,78
EdC-TX17,"Edwards, Chet",M,1951-11-24,Democratic,TX,17,4817,109,110,111,0,0,0,0,0,0,0,CEdwardsTX,2016-11-01,2016,64
FaC-PA02,"Fattah, Chaka",M,1956-11-21,Democratic,PA,2,4202,109,110,111,112,113,114,0,0,0,0,chakafattah,2009-06-01,2009,52
CrC-FL13,"Crist, Charlie",M,1956-07-24,Democratic,FL,13,1213,0,0,0,0,0,0,115,116,117,0,CharlieCrist,2009-05-01,2009,52
PiC-ME01,"Pingree, Chellie",F,1955-04-02,Democratic,ME,1,2301,0,0,111,112,113,114,115,116,117,118,chelliepingree,2008-06-01,2008,53
MuC-CT05,"Murphy, Christopher",M,1973-08-03,Democratic,CT,5,0905,0,110,111,112,0,0,0,0,0,0,ChrisMurphyCT,2010-05-01,2010,36
VaC-MD08,"Van Hollen, Chris",M,1959-01-10,Democratic,MD,8,2408,109,110,111,112,113,114,0,0,0,0,ChrisVanHollen,2008-12-01,2008,49
GaJ-IL04,"Garcia, Jesus G. Chuy",M,1956-04-12,Democratic,IL,4,1704,0,0,0,0,0,0,0,116,117,118,ChuyChicago,2014-10-01,2014,58
RoC-TX23,"Rodriguez, Ciro D.",M,1946-12-09,Democratic,TX,23,4823,0,110,111,0,0,0,0,0,0,0,CiroDRodriguez,2010-06-01,2010,63
PeC-MN07,"Peterson, Collin C.",M,1944-06-29,Democratic,MN,7,2707,109,110,111,112,113,114,115,116,0,0,collinpeterson,2010-02-01,2010,65
BoB-PA02,"Boyle, Brendan F.",M,1977-02-06,Democratic,PA,2,4202,0,0,0,0,0,114,115,116,117,118,CongBoyle,2015-11-01,2015,38
KrR-IL08,"Krishnamoorthi, Raja",M,1973-07-19,Democratic,IL,8,1708,0,0,0,0,0,0,115,116,117,118,CongressmanRaja,2016-01-01,2016,42
ChS-FL20,"Cherfilus-McCormick, Sheila",F,1979-01-25,Democratic,FL,20,1220,0,0,0,0,0,0,0,0,117,118,CongresswomanSC,2022-01-01,2022,42
RoS-NJ09,"Rothman, Steven R.",M,1952-10-14,Democratic,NJ,9,3409,109,110,111,112,0,0,0,0,0,0,CongRothman,2011-09-01,2011,58
LaC-PA17,"Lamb, Conor",M,1984-06-27,Democratic,PA,17,4217,0,0,0,0,0,0,115,116,117,0,ConorLambPA,2017-04-01,2017,32
CoJ-TN05,"Cooper, Jim",M,1954-06-19,Democratic,TN,5,4705,109,110,111,112,113,114,115,116,117,0,CoopForCongress,2012-06-01,2012,57
McC-GA04,"McKinney, Cynthia A.",F,1955-03-17,Democratic,GA,4,1304,109,0,0,0,0,0,0,0,0,0,cynthiamckinney,2009-01-01,2009,53
BoD-OK02,"Boren, Dan",M,1973-08-02,Democratic,OK,2,4002,109,110,111,112,0,0,0,0,0,0,DanBorenOK,2020-04-01,2020,46
