uniqueid,fullname,gender,dob,party,stateabr,district,congress113,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted
ScA-IL18,"Schock, Aaron",M,1981-05-28,Republican,IL,18,113,aaronschock,2009-03-01,2009,2013-01-03,2015-01-03,31
FiA-IA01,"Finkenauer, Abby",F,1988-12-27,Democratic,IA,1,0,Abby4Iowa,2015-03-01,2015,,,
PuA-FL12,"Putnam, Adam H.",M,1974-07-31,Republican,FL,12,0,adamputnam,2009-06-01,2009,,,
LaJ-LA03,"Landry, Jeffrey M.",M,1970-12-23,Republican,LA,3,0,AGJeffLandry,2010-11-01,2010,,,
GrT-AR02,"Griffin, Tim",M,2068-08-21,Republican,AR,2,113,AGTimGriffin,2010-10-01,2010,2013-01-03,2015-01-03,-55
GrA-FL09,"Grayson, Alan",M,2058-03-13,Democratic,FL,9,113,AlanGrayson,2009-05-01,2009,2013-01-03,2015-01-03,-45
NuA-MS01,"Nunnelee, Alan",M,2058-10-09,Republican,MS,1,113,AlanNunnelee,2009-04-01,2009,2013-01-03,2015-01-03,-45
SiA-NJ08,"Sires, Albio",M,2051-01-26,Democratic,NJ,8,113,AlbioSiresNJ,2012-04-01,2012,2013-01-03,2015-01-03,-38
HaA-FL20,"Hastings, Alcee L.",M,2036-09-05,Democratic,FL,20,113,AlceeHastingsFL,2013-11-01,2013,2013-01-03,2015-01-03,-23
LaA-FL05,"Lawson, Al, Jr.",M,2048-09-23,Democratic,FL,5,0,AlLawsonJr,2009-11-01,2009,,,
WeA-FL22,"West, Allen B.",M,2061-02-07,Republican,FL,22,0,AllenWest,2011-01-01,2011,,,
ScA-PA13,"Schwartz, Allyson Y.",F,2048-10-03,Democratic,PA,13,113,allysonschwartz,2013-04-01,2013,2013-01-03,2015-01-03,-35
CrA-FL04,"Crenshaw, Ander",M,2044-09-01,Republican,FL,4,113,AnderCrenshaw,2009-02-01,2009,2013-01-03,2015-01-03,-31
BuA-NY25,"Buerkle, Ann Marie",F,2051-05-08,Republican,NY,25,0,annmbuerkle,2010-11-01,2010,,,
DaA-AL07,"Davis, Artur",M,2067-10-09,Democratic,AL,7,0,ArturDavis,2009-01-01,2009,,,
MiG-CA11,"Miller, George",M,2045-05-17,Democratic,CA,11,113,askgeorge,2007-07-01,2007,2013-01-03,2015-01-03,-32
LoB-MO07,"Long, Billy",M,2055-08-11,Republican,MO,7,113,auctnr1,2009-02-01,2009,2013-01-03,2015-01-03,-42
CoM-CO06,"Coffman, Mike",M,2055-03-19,Republican,CO,6,113,AuroraMayorMike,2019-07-01,2019,2013-01-03,2015-01-03,-42
ScA-GA08,"Scott, Austin",M,2069-12-10,Republican,GA,8,113,AustinScottGA08,2011-01-01,2011,2013-01-03,2015-01-03,-56
AxC-IA03,"Axne, Cynthia",F,2065-04-20,Democratic,IA,3,0,Axne4Congress,2017-05-01,2017,,,
BaS-AL06,"Bachus, Spencer",M,2047-12-28,Republican,AL,6,113,BachusAL06,2009-09-01,2009,2013-01-03,2015-01-03,-35
CoB-VA10,"Comstock, Barbara",F,2059-06-30,Republican,VA,10,0,BarbaraComstock,2009-05-01,2009,,,
FrB-MA04,"Frank, Barney",M,2040-03-31,Democratic,MA,4,0,BarneyFrank,2013-07-01,2013,,,
HiB-IN09,"Hill, Baron P.",M,2053-06-23,Democratic,IN,9,0,BaronHill2016,2010-02-01,2010,,,
McB-UT04,"McAdams, Ben",M,1974-12-05,Democratic,UT,4,0,BenMcAdams,2009-06-01,2009,,,
ThB-MS02,"Thompson, Bennie G.",M,2048-01-28,Democratic,MS,2,113,BennieGThompson,2009-01-01,2009,2013-01-03,2015-01-03,-35
BeS-NV01,"Berkley, Shelley",F,2051-01-20,Democratic,NV,1,0,Berkley4Senate,2011-04-01,2011,,,
O'B-TX16,"O''Rourke, Beto",M,1972-09-26,Democratic,TX,16,113,BetoORourke,2011-07-01,2011,2013-01-03,2015-01-03,40
MaB-CO04,"Markey, Betsy",F,2056-04-27,Democratic,CO,4,0,BetsyMarkey,2009-06-01,2009,,,
McB-MN04,"McCollum, Betty",F,2054-07-12,Democratic,MN,4,113,BettyMcCollum04,2012-01-01,2012,2013-01-03,2015-01-03,-41
SuB-OH13,"Sutton, Betty",F,2063-07-31,Democratic,OH,13,0,BettySutton,2010-04-01,2010,,,
BiB-CA50,"Bilbray, Brian P.",M,2051-01-28,Republican,CA,50,0,BilbrayCA50,2009-07-01,2009,,,
CaB-LA06,"Cassidy, Bill",M,2057-09-28,Republican,LA,6,113,BillCassidy,2009-07-01,2009,2013-01-03,2015-01-03,-44
OwW-NY21,"Owens, William L.",M,2049-01-20,Democratic,NY,21,113,BillOwensNY,2010-12-01,2010,2013-01-03,2015-01-03,-36
PaB-NJ09,"Pascrell, Bill, Jr.",M,2037-01-25,Democratic,NJ,9,113,BillPascrell,2009-01-01,2009,2013-01-03,2015-01-03,-24
BrR-PA01,"Brady, Robert A.",M,2045-04-07,Democratic,PA,1,113,BobBradyPHL,2010-05-01,2010,2013-01-03,2015-01-03,-32
JiB-LA01,"Jindal, Bobby",M,1971-06-10,Republican,LA,1,0,BobbyJindal,2008-10-01,2008,,,
RuB-IL01,"Rush, Bobby L.",M,2046-11-23,Democratic,IL,1,113,BobbyLRush,2011-05-01,2011,2013-01-03,2015-01-03,-33
