uniqueid,fullname,gender,dob,party,stateabr,district,statedistid,congress109,congress110,congress111,congress112,congress113,congress114,congress115,congress116,congress117,congress118,twitterhandle,joinedon,yearjoined
ScA-IL18,"Schock, Aaron",M,1981-05-28,Republican,IL,18,1718,0,0,111,112,113,0,0,0,0,0,aaronschock,2009-03-01,2009
FiA-IA01,"Finkenauer, Abby",F,1988-12-27,Democratic,IA,1,1901,0,0,0,0,0,0,0,116,0,0,Abby4Iowa,2015-03-01,2015
PuA-FL12,"Putnam, Adam H.",M,1974-07-31,Republican,FL,12,1212,109,110,111,0,0,0,0,0,0,0,adamputnam,2009-06-01,2009
LaJ-LA03,"Landry, Jeffrey M.",M,1970-12-23,Republican,LA,3,2203,0,0,0,112,0,0,0,0,0,0,AGJeffLandry,2010-11-01,2010
GrT-AR02,"Griffin, Tim",M,2068-08-21,Republican,AR,2,0502,0,0,0,112,113,0,0,0,0,0,AGTimGriffin,2010-10-01,2010
GrA-FL09,"Grayson, Alan",M,2058-03-13,Democratic,FL,9,1209,0,0,111,0,113,114,0,0,0,0,AlanGrayson,2009-05-01,2009
NuA-MS01,"Nunnelee, Alan",M,2058-10-09,Republican,MS,1,2801,0,0,0,112,113,0,0,0,0,0,AlanNunnelee,2009-04-01,2009
SiA-NJ08,"Sires, Albio",M,2051-01-26,Democratic,NJ,8,3408,109,110,111,112,113,114,115,116,117,0,AlbioSiresNJ,2012-04-01,2012
HaA-FL20,"Hastings, Alcee L.",M,2036-09-05,Democratic,FL,20,1220,109,110,111,112,113,114,115,116,0,0,AlceeHastingsFL,2013-11-01,2013
LaA-FL05,"Lawson, Al, Jr.",M,2048-09-23,Democratic,FL,5,1205,0,0,0,0,0,0,115,116,117,0,AlLawsonJr,2009-11-01,2009
WeA-FL22,"West, Allen B.",M,2061-02-07,Republican,FL,22,1222,0,0,0,112,0,0,0,0,0,0,AllenWest,2011-01-01,2011
ScA-PA13,"Schwartz, Allyson Y.",F,2048-10-03,Democratic,PA,13,4213,109,110,111,112,113,0,0,0,0,0,allysonschwartz,2013-04-01,2013
CrA-FL04,"Crenshaw, Ander",M,2044-09-01,Republican,FL,4,1204,109,110,111,112,113,114,0,0,0,0,AnderCrenshaw,2009-02-01,2009
BuA-NY25,"Buerkle, Ann Marie",F,2051-05-08,Republican,NY,25,3625,0,0,0,112,0,0,0,0,0,0,annmbuerkle,2010-11-01,2010
DaA-AL07,"Davis, Artur",M,2067-10-09,Democratic,AL,7,0107,109,110,111,0,0,0,0,0,0,0,ArturDavis,2009-01-01,2009
MiG-CA11,"Miller, George",M,2045-05-17,Democratic,CA,11,0611,109,110,111,112,113,0,0,0,0,0,askgeorge,2007-07-01,2007
LoB-MO07,"Long, Billy",M,2055-08-11,Republican,MO,7,2907,0,0,0,112,113,114,115,116,117,0,auctnr1,2009-02-01,2009
CoM-CO06,"Coffman, Mike",M,2055-03-19,Republican,CO,6,0806,0,0,111,112,113,114,115,0,0,0,AuroraMayorMike,2019-07-01,2019
ScA-GA08,"Scott, Austin",M,2069-12-10,Republican,GA,8,1308,0,0,0,112,113,114,115,116,117,118,AustinScottGA08,2011-01-01,2011
AxC-IA03,"Axne, Cynthia",F,2065-04-20,Democratic,IA,3,1903,0,0,0,0,0,0,0,116,117,0,Axne4Congress,2017-05-01,2017
BaS-AL06,"Bachus, Spencer",M,2047-12-28,Republican,AL,6,0106,109,110,111,112,113,0,0,0,0,0,BachusAL06,2009-09-01,2009
CoB-VA10,"Comstock, Barbara",F,2059-06-30,Republican,VA,10,5110,0,0,0,0,0,114,115,0,0,0,BarbaraComstock,2009-05-01,2009
FrB-MA04,"Frank, Barney",M,2040-03-31,Democratic,MA,4,2504,109,110,111,112,0,0,0,0,0,0,BarneyFrank,2013-07-01,2013
HiB-IN09,"Hill, Baron P.",M,2053-06-23,Democratic,IN,9,1809,0,110,111,0,0,0,0,0,0,0,BaronHill2016,2010-02-01,2010
McB-UT04,"McAdams, Ben",M,1974-12-05,Democratic,UT,4,4904,0,0,0,0,0,0,0,116,0,0,BenMcAdams,2009-06-01,2009
ThB-MS02,"Thompson, Bennie G.",M,2048-01-28,Democratic,MS,2,2802,109,110,111,112,113,114,115,116,117,118,BennieGThompson,2009-01-01,2009
BeS-NV01,"Berkley, Shelley",F,2051-01-20,Democratic,NV,1,3201,109,110,111,112,0,0,0,0,0,0,Berkley4Senate,2011-04-01,2011
O'B-TX16,"O''Rourke, Beto",M,1972-09-26,Democratic,TX,16,4816,0,0,0,0,113,114,115,0,0,0,BetoORourke,2011-07-01,2011
MaB-CO04,"Markey, Betsy",F,2056-04-27,Democratic,CO,4,0804,0,0,111,0,0,0,0,0,0,0,BetsyMarkey,2009-06-01,2009
