uniqueid,fullname,gender,dob,party,stateabr,district,congress109,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted
ScA-IL18,"Schock, Aaron",M,1981-05-28,Republican,IL,18,0,aaronschock,2009-03-01,2009,,,
FiA-IA01,"Finkenauer, Abby",F,1988-12-27,Democratic,IA,1,0,Abby4Iowa,2015-03-01,2015,,,
PuA-FL12,"Putnam, Adam H.",M,1974-07-31,Republican,FL,12,109,adamputnam,2009-06-01,2009,2005-01-03,2007-01-03,30
LaJ-LA03,"Landry, Jeffrey M.",M,1970-12-23,Republican,LA,3,0,AGJeffLandry,2010-11-01,2010,,,
GrT-AR02,"Griffin, Tim",M,2068-08-21,Republican,AR,2,0,AGTimGriffin,2010-10-01,2010,,,
GrA-FL09,"Grayson, Alan",M,2058-03-13,Democratic,FL,9,0,AlanGrayson,2009-05-01,2009,,,
NuA-MS01,"Nunnelee, Alan",M,2058-10-09,Republican,MS,1,0,AlanNunnelee,2009-04-01,2009,,,
SiA-NJ08,"Sires, Albio",M,2051-01-26,Democratic,NJ,8,109,AlbioSiresNJ,2012-04-01,2012,2005-01-03,2007-01-03,-46
HaA-FL20,"Hastings, Alcee L.",M,2036-09-05,Democratic,FL,20,109,AlceeHastingsFL,2013-11-01,2013,2005-01-03,2007-01-03,-31
LaA-FL05,"Lawson, Al, Jr.",M,2048-09-23,Democratic,FL,5,0,AlLawsonJr,2009-11-01,2009,,,
WeA-FL22,"West, Allen B.",M,2061-02-07,Republican,FL,22,0,AllenWest,2011-01-01,2011,,,
ScA-PA13,"Schwartz, Allyson Y.",F,2048-10-03,Democratic,PA,13,109,allysonschwartz,2013-04-01,2013,2005-01-03,2007-01-03,-43
CrA-FL04,"Crenshaw, Ander",M,2044-09-01,Republican,FL,4,109,AnderCrenshaw,2009-02-01,2009,2005-01-03,2007-01-03,-39
BuA-NY25,"Buerkle, Ann Marie",F,2051-05-08,Republican,NY,25,0,annmbuerkle,2010-11-01,2010,,,
DaA-AL07,"Davis, Artur",M,2067-10-09,Democratic,AL,7,109,ArturDavis,2009-01-01,2009,2005-01-03,2007-01-03,-62
MiG-CA11,"Miller, George",M,2045-05-17,Democratic,CA,11,109,askgeorge,2007-07-01,2007,2005-01-03,2007-01-03,-40
LoB-MO07,"Long, Billy",M,2055-08-11,Republican,MO,7,0,auctnr1,2009-02-01,2009,,,
CoM-CO06,"Coffman, Mike",M,2055-03-19,Republican,CO,6,0,AuroraMayorMike,2019-07-01,2019,,,
ScA-GA08,"Scott, Austin",M,2069-12-10,Republican,GA,8,0,AustinScottGA08,2011-01-01,2011,,,
AxC-IA03,"Axne, Cynthia",F,2065-04-20,Democratic,IA,3,0,Axne4Congress,2017-05-01,2017,,,
BaS-AL06,"Bachus, Spencer",M,2047-12-28,Republican,AL,6,109,BachusAL06,2009-09-01,2009,2005-01-03,2007-01-03,-43
CoB-VA10,"Comstock, Barbara",F,2059-06-30,Republican,VA,10,0,BarbaraComstock,2009-05-01,2009,,,
FrB-MA04,"Frank, Barney",M,2040-03-31,Democratic,MA,4,109,BarneyFrank,2013-07-01,2013,2005-01-03,2007-01-03,-35
HiB-IN09,"Hill, Baron P.",M,2053-06-23,Democratic,IN,9,0,BaronHill2016,2010-02-01,2010,,,
McB-UT04,"McAdams, Ben",M,1974-12-05,Democratic,UT,4,0,BenMcAdams,2009-06-01,2009,,,
ThB-MS02,"Thompson, Bennie G.",M,2048-01-28,Democratic,MS,2,109,BennieGThompson,2009-01-01,2009,2005-01-03,2007-01-03,-43
BeS-NV01,"Berkley, Shelley",F,2051-01-20,Democratic,NV,1,109,Berkley4Senate,2011-04-01,2011,2005-01-03,2007-01-03,-46
O'B-TX16,"O''Rourke, Beto",M,1972-09-26,Democratic,TX,16,0,BetoORourke,2011-07-01,2011,,,
MaB-CO04,"Markey, Betsy",F,2056-04-27,Democratic,CO,4,0,BetsyMarkey,2009-06-01,2009,,,
McB-MN04,"McCollum, Betty",F,2054-07-12,Democratic,MN,4,109,BettyMcCollum04,2012-01-01,2012,2005-01-03,2007-01-03,-49
SuB-OH13,"Sutton, Betty",F,2063-07-31,Democratic,OH,13,0,BettySutton,2010-04-01,2010,,,
BiB-CA50,"Bilbray, Brian P.",M,2051-01-28,Republican,CA,50,109,BilbrayCA50,2009-07-01,2009,2005-01-03,2007-01-03,-46
CaB-LA06,"Cassidy, Bill",M,2057-09-28,Republican,LA,6,0,BillCassidy,2009-07-01,2009,,,
OwW-NY21,"Owens, William L.",M,2049-01-20,Democratic,NY,21,0,BillOwensNY,2010-12-01,2010,,,
PaB-NJ09,"Pascrell, Bill, Jr.",M,2037-01-25,Democratic,NJ,9,109,BillPascrell,2009-01-01,2009,2005-01-03,2007-01-03,-32
BrR-PA01,"Brady, Robert A.",M,2045-04-07,Democratic,PA,1,109,BobBradyPHL,2010-05-01,2010,2005-01-03,2007-01-03,-40
JiB-LA01,"Jindal, Bobby",M,1971-06-10,Republican,LA,1,109,BobbyJindal,2008-10-01,2008,2005-01-03,2007-01-03,33
RuB-IL01,"Rush, Bobby L.",M,2046-11-23,Democratic,IL,1,109,BobbyLRush,2011-05-01,2011,2005-01-03,2007-01-03,-41
ScR-VA03,"Scott, Robert C. Bobby",M,2047-04-30,Democratic,VA,3,109,BobbyScott,2010-01-01,2010,2005-01-03,2007-01-03,-42
FiB-CA51,"Filner, Bob",M,2042-09-04,Democratic,CA,51,109,bobfilner,2009-09-01,2009,2005-01-03,2007-01-03,-37
InB-SC04,"Inglis, Bob",M,2059-10-11,Republican,SC,4,109,bobinglis,2008-10-01,2008,2005-01-03,2007-01-03,-54
LaR-OH05,"Latta, Robert E.",M,2056-04-18,Republican,OH,5,0,boblatta,2008-01-01,2008,,,
NeR-OH18,"Ney, Robert W.",M,2054-07-05,Republican,OH,18,109,bobney,2008-09-01,2008,2005-01-03,2007-01-03,-49
EtB-NC02,"Etheridge, Bob",M,2041-08-07,Democratic,NC,2,109,bobretheridge,2010-11-01,2010,2005-01-03,2007-01-03,-36
BoN-KS02,"Boyda, Nancy E.",F,2055-08-02,Democratic,KS,2,0,BoydaNancy,2019-05-01,2019,,,
QuB-AZ03,"Quayle, Benjamin",M,1976-11-03,Republican,AZ,3,0,bquayle,2010-02-01,2010,,,
ByB-AL01,"Byrne, Bradley",M,2055-02-16,Republican,AL,1,0,BradleyByrne,2009-05-01,2009,,,
ShB-CA32,"Sherman, Brad",M,2054-10-24,Democratic,CA,32,109,BradSherman,2009-01-01,2009,2005-01-03,2007-01-03,-49
BrK-TX08,"Brady, Kevin",M,2055-04-11,Republican,TX,8,109,bradyfortexas,2012-05-01,2012,2005-01-03,2007-01-03,-50
LaB-MI14,"Lawrence, Brenda L.",F,2054-10-18,Democratic,MI,14,0,BrendaLLawrence,2009-07-01,2009,,,
PoB-ME02,"Poliquin, Bruce",M,2053-11-01,Republican,ME,2,0,BrucePoliquin,2009-04-01,2009,,,
OtC-ID01,"Otter, C. L. (Butch)",M,2042-05-03,Republican,ID,1,109,ButchOtter,2009-04-01,2009,2005-01-03,2007-01-03,-37
RuC-MD02,"Ruppersberger, C. A. Dutch",M,2046-01-31,Democratic,MD,2,109,Call_Me_Dutch,2011-01-01,2011,2005-01-03,2007-01-03,-41
