uniqueid,fullname,gender,dob,party,stateabr,district,congress109,twitterhandle,Twitter,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,joined109
PuA-FL12,"Putnam, Adam H.",M,7/31/74,Republican,FL,12,109,adamputnam,1,6/1/09,2009,1/3/05,1/3/07,30,
SiA-NJ08,"Sires, Albio",M,1/26/51,Democratic,NJ,8,109,AlbioSiresNJ,1,4/1/12,2012,1/3/05,1/3/07,-46,
HaA-FL20,"Hastings, Alcee L.",M,9/5/36,Democratic,FL,20,109,AlceeHastingsFL,1,11/1/13,2013,1/3/05,1/3/07,-31,
ScA-PA13,"Schwartz, Allyson Y.",F,10/3/48,Democratic,PA,13,109,allysonschwartz,1,4/1/13,2013,1/3/05,1/3/07,-43,
CrA-FL04,"Crenshaw, Ander",M,9/1/44,Republican,FL,4,109,AnderCrenshaw,1,2/1/09,2009,1/3/05,1/3/07,-39,
DaA-AL07,"Davis, Artur",M,10/9/67,Democratic,AL,7,109,ArturDavis,1,1/1/09,2009,1/3/05,1/3/07,-62,
MiG-CA11,"Miller, George",M,5/17/45,Democratic,CA,11,109,askgeorge,1,7/1/07,2007,1/3/05,1/3/07,-40,1.00
BaS-AL06,"Bachus, Spencer",M,12/28/47,Republican,AL,6,109,BachusAL06,1,9/1/09,2009,1/3/05,1/3/07,-43,
FrB-MA04,"Frank, Barney",M,3/31/40,Democratic,MA,4,109,BarneyFrank,1,7/1/13,2013,1/3/05,1/3/07,-35,
ThB-MS02,"Thompson, Bennie G.",M,1/28/48,Democratic,MS,2,109,BennieGThompson,1,1/1/09,2009,1/3/05,1/3/07,-43,
BeS-NV01,"Berkley, Shelley",F,1/20/51,Democratic,NV,1,109,Berkley4Senate,1,4/1/11,2011,1/3/05,1/3/07,-46,
McB-MN04,"McCollum, Betty",F,7/12/54,Democratic,MN,4,109,BettyMcCollum04,1,1/1/12,2012,1/3/05,1/3/07,-49,
BiB-CA50,"Bilbray, Brian P.",M,1/28/51,Republican,CA,50,109,BilbrayCA50,1,7/1/09,2009,1/3/05,1/3/07,-46,
PaB-NJ09,"Pascrell, Bill, Jr.",M,1/25/37,Democratic,NJ,9,109,BillPascrell,1,1/1/09,2009,1/3/05,1/3/07,-32,
BrR-PA01,"Brady, Robert A.",M,4/7/45,Democratic,PA,1,109,BobBradyPHL,1,5/1/10,2010,1/3/05,1/3/07,-40,
JiB-LA01,"Jindal, Bobby",M,6/10/71,Republican,LA,1,109,BobbyJindal,1,10/1/08,2008,1/3/05,1/3/07,33,
RuB-IL01,"Rush, Bobby L.",M,11/23/46,Democratic,IL,1,109,BobbyLRush,1,5/1/11,2011,1/3/05,1/3/07,-41,
ScR-VA03,"Scott, Robert C. Bobby",M,4/30/47,Democratic,VA,3,109,BobbyScott,1,1/1/10,2010,1/3/05,1/3/07,-42,
FiB-CA51,"Filner, Bob",M,9/4/42,Democratic,CA,51,109,bobfilner,1,9/1/09,2009,1/3/05,1/3/07,-37,
InB-SC04,"Inglis, Bob",M,10/11/59,Republican,SC,4,109,bobinglis,1,10/1/08,2008,1/3/05,1/3/07,-54,
NeR-OH18,"Ney, Robert W.",M,7/5/54,Republican,OH,18,109,bobney,1,9/1/08,2008,1/3/05,1/3/07,-49,
EtB-NC02,"Etheridge, Bob",M,8/7/41,Democratic,NC,2,109,bobretheridge,1,11/1/10,2010,1/3/05,1/3/07,-36,
ShB-CA32,"Sherman, Brad",M,10/24/54,Democratic,CA,32,109,BradSherman,1,1/1/09,2009,1/3/05,1/3/07,-49,
BrK-TX08,"Brady, Kevin",M,4/11/55,Republican,TX,8,109,bradyfortexas,1,5/1/12,2012,1/3/05,1/3/07,-50,
OtC-ID01,"Otter, C. L. (Butch)",M,5/3/42,Republican,ID,1,109,ButchOtter,1,4/1/09,2009,1/3/05,1/3/07,-37,
RuC-MD02,"Ruppersberger, C. A. Dutch",M,1/31/46,Democratic,MD,2,109,Call_Me_Dutch,1,1/1/11,2011,1/3/05,1/3/07,-41,
MiC-MI10,"Miller, Candice S.",F,5/7/54,Republican,MI,10,109,CandiceMiller,1,6/1/08,2008,1/3/05,1/3/07,-49,
McC-WA05,"McMorris Rodgers, Cathy",F,5/22/69,Republican,WA,5,109,cathymcmorris,1,1/1/08,2008,1/3/05,1/3/07,-64,
RaC-NY13,"Rangel, Charles B.",M,6/11/30,Democratic,NY,13,109,cbrangel,1,2/1/09,2009,1/3/05,1/3/07,-25,
EdC-TX17,"Edwards, Chet",M,11/24/51,Democratic,TX,17,109,CEdwardsTX,1,11/1/16,2016,1/3/05,1/3/07,-46,
HaR-NC08,"Hayes, Robin",M,8/14/45,Republican,NC,8,109,ChairmanHayes,1,1/1/11,2011,1/3/05,1/3/07,-40,
McH-CA25,"McKeon, Howard P. Buck",M,9/9/38,Republican,CA,25,109,chairmanmckeon,1,11/1/15,2015,1/3/05,1/3/07,-33,
FaC-PA02,"Fattah, Chaka",M,11/21/56,Democratic,PA,2,109,chakafattah,1,6/1/09,2009,1/3/05,1/3/07,-51,
CaC-UT03,"Cannon, Chris",M,10/20/50,Republican,UT,3,109,chriscanno,1,1/1/09,2009,1/3/05,1/3/07,-45,
ChC-IN02,"Chocola, Chris",M,2/24/62,Republican,IN,2,109,ChrisChocola,1,7/1/12,2012,1/3/05,1/3/07,-57,
VaC-MD08,"Van Hollen, Chris",M,1/10/59,Democratic,MD,8,109,ChrisVanHollen,1,12/1/08,2008,1/3/05,1/3/07,-54,
PeC-MN07,"Peterson, Collin C.",M,6/29/44,Democratic,MN,7,109,collinpeterson,1,2/1/10,2010,1/3/05,1/3/07,-39,
CoK-TX11,"Conaway, K. Michael",M,6/11/48,Republican,TX,11,109,ConawayTX11,1,5/1/11,2011,1/3/05,1/3/07,-43,
SaJ-NJ03,"Saxton, Jim",M,1/22/43,Republican,NJ,3,109,Cong_Jim_Saxton,1,4/1/15,2015,1/3/05,1/3/07,-38,
SiM-ID02,"Simpson, Michael K.",M,9/8/50,Republican,ID,2,109,CongMikeSimpson,1,9/1/09,2009,1/3/05,1/3/07,-45,
RoS-NJ09,"Rothman, Steven R.",M,10/14/52,Democratic,NJ,9,109,CongRothman,1,9/1/11,2011,1/3/05,1/3/07,-47,
MaC-FL14,"Mack, Connie",M,8/12/67,Republican,FL,14,109,ConnieMackIV,1,3/1/09,2009,1/3/05,1/3/07,-62,
CoJ-TN05,"Cooper, Jim",M,6/19/54,Democratic,TN,5,109,CoopForCongress,1,6/1/12,2012,1/3/05,1/3/07,-49,
ShC-CT04,"Shays, Christopher",M,10/18/45,Republican,CT,4,109,CShays,1,5/1/08,2008,1/3/05,1/3/07,-40,
McC-GA04,"McKinney, Cynthia A.",F,3/17/55,Democratic,GA,4,109,cynthiamckinney,1,1/1/09,2009,1/3/05,1/3/07,-50,
BoD-OK02,"Boren, Dan",M,8/2/73,Democratic,OK,2,109,DanBorenOK,1,4/1/20,2020,1/3/05,1/3/07,31,
BuD-IN05,"Burton, Dan",M,6/21/38,Republican,IN,5,109,danburton,1,7/1/08,2008,1/3/05,1/3/07,-33,
WuD-OR01,"Wu, David",M,4/8/55,Democratic,OR,1,109,DavidWu2010,1,9/1/10,2010,1/3/05,1/3/07,-50,
ChD-VI00,"Christensen, Donna M.",F,9/19/45,Democratic,VI,0,109,DelegateDonna,1,3/1/11,2011,1/3/05,1/3/07,-40,
KuD-OH10,"Kucinich, Dennis J.",M,11/8/46,Democratic,OH,10,109,Dennis_Kucinich,1,6/1/08,2008,1/3/05,1/3/07,-41,
NuD-CA22,"Nunes, Devin",M,10/1/73,Republican,CA,22,109,DevinNunes,1,7/1/09,2009,1/3/05,1/3/07,31,
HaD-WA04,"Hastings, Doc",M,2/7/41,Republican,WA,4,109,DocHastings,1,10/1/11,2011,1/3/05,1/3/07,-36,
MaD-CA07,"Matsui, Doris O.",F,9/25/44,Democratic,CA,7,109,DorisMatsui,1,5/1/09,2009,1/3/05,1/3/07,-39,
WeD-FL15,"Weldon, Dave",M,8/31/53,Republican,FL,15,109,DrDaveWeldon,1,5/1/12,2012,1/3/05,1/3/07,-48,
GiP-GA11,"Gingrey, Phil",M,7/10/42,Republican,GA,11,109,DrPhilGingrey,1,4/1/09,2009,1/3/05,1/3/07,-37,
RoE-CA39,"Royce, Edward R.",M,12/12/51,Republican,CA,39,109,EdRRoyce,1,8/1/10,2010,1/3/05,1/3/07,-46,
