uniqueid,fullname,gender,dob,party,stateabr,district,congress110,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,twitter,NT,joined110
ScA-IL18,"Schock, Aaron",M,5/28/81,Republican,IL,18,0,aaronschock,3/1/09,2009,,,,,,0
FiA-IA01,"Finkenauer, Abby",F,12/27/88,Democratic,IA,1,0,Abby4Iowa,3/1/15,2015,,,,,,0
PuA-FL12,"Putnam, Adam H.",M,7/31/74,Republican,FL,12,110,adamputnam,6/1/09,2009,1/3/07,1/3/09,32,,No Twitter,0
LaJ-LA03,"Landry, Jeffrey M.",M,12/23/70,Republican,LA,3,0,AGJeffLandry,11/1/10,2010,,,,,,0
GrT-AR02,"Griffin, Tim",M,8/21/68,Republican,AR,2,0,AGTimGriffin,10/1/10,2010,,,,,,0
GrA-FL09,"Grayson, Alan",M,3/13/58,Democratic,FL,9,0,AlanGrayson,5/1/09,2009,,,,,,0
NuA-MS01,"Nunnelee, Alan",M,10/9/58,Republican,MS,1,0,AlanNunnelee,4/1/09,2009,,,,,,0
SiA-NJ08,"Sires, Albio",M,1/26/51,Democratic,NJ,8,110,AlbioSiresNJ,4/1/12,2012,1/3/07,1/3/09,-44,,No Twitter,0
HaA-FL20,"Hastings, Alcee L.",M,9/5/36,Democratic,FL,20,110,AlceeHastingsFL,11/1/13,2013,1/3/07,1/3/09,-29,,No Twitter,0
LaA-FL05,"Lawson, Al, Jr.",M,9/23/48,Democratic,FL,5,0,AlLawsonJr,11/1/09,2009,,,,,,0
WeA-FL22,"West, Allen B.",M,2/7/61,Republican,FL,22,0,AllenWest,1/1/11,2011,,,,,,0
ScA-PA13,"Schwartz, Allyson Y.",F,10/3/48,Democratic,PA,13,110,allysonschwartz,4/1/13,2013,1/3/07,1/3/09,-41,,No Twitter,0
CrA-FL04,"Crenshaw, Ander",M,9/1/44,Republican,FL,4,110,AnderCrenshaw,2/1/09,2009,1/3/07,1/3/09,-37,,No Twitter,0
BuA-NY25,"Buerkle, Ann Marie",F,5/8/51,Republican,NY,25,0,annmbuerkle,11/1/10,2010,,,,,,0
DaA-AL07,"Davis, Artur",M,10/9/67,Democratic,AL,7,110,ArturDavis,1/1/09,2009,1/3/07,1/3/09,-60,,No Twitter,0
MiG-CA11,"Miller, George",M,5/17/45,Democratic,CA,11,110,askgeorge,7/1/07,2007,1/3/07,1/3/09,-38,1.00,Has Twitter,1
LoB-MO07,"Long, Billy",M,8/11/55,Republican,MO,7,0,auctnr1,2/1/09,2009,,,,,,0
CoM-CO06,"Coffman, Mike",M,3/19/55,Republican,CO,6,0,AuroraMayorMike,7/1/19,2019,,,,,,0
ScA-GA08,"Scott, Austin",M,12/10/69,Republican,GA,8,0,AustinScottGA08,1/1/11,2011,,,,,,0
AxC-IA03,"Axne, Cynthia",F,4/20/65,Democratic,IA,3,0,Axne4Congress,5/1/17,2017,,,,,,0
BaS-AL06,"Bachus, Spencer",M,12/28/47,Republican,AL,6,110,BachusAL06,9/1/09,2009,1/3/07,1/3/09,-41,,No Twitter,0
CoB-VA10,"Comstock, Barbara",F,6/30/59,Republican,VA,10,0,BarbaraComstock,5/1/09,2009,,,,,,0
FrB-MA04,"Frank, Barney",M,3/31/40,Democratic,MA,4,110,BarneyFrank,7/1/13,2013,1/3/07,1/3/09,-33,,No Twitter,0
