uniqueid,fullname,gender,dob,party,stateabr,district,congress111,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,Twitter,joined111,NT
ScA-IL18,"Schock, Aaron",M,5/28/81,Republican,IL,18,111,aaronschock,3/1/09,2009,1/3/09,1/3/11,27,1.00,1,Has Twitter
FiA-IA01,"Finkenauer, Abby",F,12/27/88,Democratic,IA,1,0,Abby4Iowa,3/1/15,2015,,,,,,
PuA-FL12,"Putnam, Adam H.",M,7/31/74,Republican,FL,12,111,adamputnam,6/1/09,2009,1/3/09,1/3/11,34,1.00,1,Has Twitter
LaJ-LA03,"Landry, Jeffrey M.",M,12/23/70,Republican,LA,3,0,AGJeffLandry,11/1/10,2010,,,,1.00,1,
GrT-AR02,"Griffin, Tim",M,8/21/68,Republican,AR,2,0,AGTimGriffin,10/1/10,2010,,,,1.00,1,
GrA-FL09,"Grayson, Alan",M,3/13/58,Democratic,FL,9,111,AlanGrayson,5/1/09,2009,1/3/09,1/3/11,-49,1.00,1,Has Twitter
NuA-MS01,"Nunnelee, Alan",M,10/9/58,Republican,MS,1,0,AlanNunnelee,4/1/09,2009,,,,1.00,1,
SiA-NJ08,"Sires, Albio",M,1/26/51,Democratic,NJ,8,111,AlbioSiresNJ,4/1/12,2012,1/3/09,1/3/11,-42,,,No Twitter
HaA-FL20,"Hastings, Alcee L.",M,9/5/36,Democratic,FL,20,111,AlceeHastingsFL,11/1/13,2013,1/3/09,1/3/11,-27,,,No Twitter
LaA-FL05,"Lawson, Al, Jr.",M,9/23/48,Democratic,FL,5,0,AlLawsonJr,11/1/09,2009,,,,1.00,1,
WeA-FL22,"West, Allen B.",M,2/7/61,Republican,FL,22,0,AllenWest,1/1/11,2011,,,,,,
ScA-PA13,"Schwartz, Allyson Y.",F,10/3/48,Democratic,PA,13,111,allysonschwartz,4/1/13,2013,1/3/09,1/3/11,-39,,,No Twitter
CrA-FL04,"Crenshaw, Ander",M,9/1/44,Republican,FL,4,111,AnderCrenshaw,2/1/09,2009,1/3/09,1/3/11,-35,1.00,1,Has Twitter
BuA-NY25,"Buerkle, Ann Marie",F,5/8/51,Republican,NY,25,0,annmbuerkle,11/1/10,2010,,,,1.00,1,
DaA-AL07,"Davis, Artur",M,10/9/67,Democratic,AL,7,111,ArturDavis,1/1/09,2009,1/3/09,1/3/11,-58,1.00,1,Has Twitter
MiG-CA11,"Miller, George",M,5/17/45,Democratic,CA,11,111,askgeorge,7/1/07,2007,1/3/09,1/3/11,-36,1.00,,Has Twitter
LoB-MO07,"Long, Billy",M,8/11/55,Republican,MO,7,0,auctnr1,2/1/09,2009,,,,1.00,1,
CoM-CO06,"Coffman, Mike",M,3/19/55,Republican,CO,6,111,AuroraMayorMike,7/1/19,2019,1/3/09,1/3/11,-46,,,No Twitter
ScA-GA08,"Scott, Austin",M,12/10/69,Republican,GA,8,0,AustinScottGA08,1/1/11,2011,,,,,,
AxC-IA03,"Axne, Cynthia",F,4/20/65,Democratic,IA,3,0,Axne4Congress,5/1/17,2017,,,,,,
BaS-AL06,"Bachus, Spencer",M,12/28/47,Republican,AL,6,111,BachusAL06,9/1/09,2009,1/3/09,1/3/11,-39,1.00,1,Has Twitter
CoB-VA10,"Comstock, Barbara",F,6/30/59,Republican,VA,10,0,BarbaraComstock,5/1/09,2009,,,,1.00,1,
FrB-MA04,"Frank, Barney",M,3/31/40,Democratic,MA,4,111,BarneyFrank,7/1/13,2013,1/3/09,1/3/11,-31,,,No Twitter
HiB-IN09,"Hill, Baron P.",M,6/23/53,Democratic,IN,9,111,BaronHill2016,2/1/10,2010,1/3/09,1/3/11,-44,1.00,1,Has Twitter
McB-UT04,"McAdams, Ben",M,12/5/74,Democratic,UT,4,0,BenMcAdams,6/1/09,2009,,,,1.00,1,
ThB-MS02,"Thompson, Bennie G.",M,1/28/48,Democratic,MS,2,111,BennieGThompson,1/1/09,2009,1/3/09,1/3/11,-39,1.00,1,Has Twitter
BeS-NV01,"Berkley, Shelley",F,1/20/51,Democratic,NV,1,111,Berkley4Senate,4/1/11,2011,1/3/09,1/3/11,-42,,,No Twitter
O'B-TX16,"O''Rourke, Beto",M,9/26/72,Democratic,TX,16,0,BetoORourke,7/1/11,2011,,,,,,
MaB-CO04,"Markey, Betsy",F,4/27/56,Democratic,CO,4,111,BetsyMarkey,6/1/09,2009,1/3/09,1/3/11,-47,1.00,1,Has Twitter
McB-MN04,"McCollum, Betty",F,7/12/54,Democratic,MN,4,111,BettyMcCollum04,1/1/12,2012,1/3/09,1/3/11,-45,,,No Twitter
SuB-OH13,"Sutton, Betty",F,7/31/63,Democratic,OH,13,111,BettySutton,4/1/10,2010,1/3/09,1/3/11,-54,1.00,1,Has Twitter
BiB-CA50,"Bilbray, Brian P.",M,1/28/51,Republican,CA,50,111,BilbrayCA50,7/1/09,2009,1/3/09,1/3/11,-42,1.00,1,Has Twitter
CaB-LA06,"Cassidy, Bill",M,9/28/57,Republican,LA,6,111,BillCassidy,7/1/09,2009,1/3/09,1/3/11,-48,1.00,1,Has Twitter
OwW-NY21,"Owens, William L.",M,1/20/49,Democratic,NY,21,111,BillOwensNY,12/1/10,2010,1/3/09,1/3/11,-40,1.00,1,Has Twitter
PaB-NJ09,"Pascrell, Bill, Jr.",M,1/25/37,Democratic,NJ,9,111,BillPascrell,1/1/09,2009,1/3/09,1/3/11,-28,1.00,1,Has Twitter
BrR-PA01,"Brady, Robert A.",M,4/7/45,Democratic,PA,1,111,BobBradyPHL,5/1/10,2010,1/3/09,1/3/11,-36,1.00,1,Has Twitter
JiB-LA01,"Jindal, Bobby",M,6/10/71,Republican,LA,1,0,BobbyJindal,10/1/08,2008,,,,1.00,,
RuB-IL01,"Rush, Bobby L.",M,11/23/46,Democratic,IL,1,111,BobbyLRush,5/1/11,2011,1/3/09,1/3/11,-37,,,No Twitter
ScR-VA03,"Scott, Robert C. Bobby",M,4/30/47,Democratic,VA,3,111,BobbyScott,1/1/10,2010,1/3/09,1/3/11,-38,1.00,1,Has Twitter
FiB-CA51,"Filner, Bob",M,9/4/42,Democratic,CA,51,111,bobfilner,9/1/09,2009,1/3/09,1/3/11,-33,1.00,1,Has Twitter
InB-SC04,"Inglis, Bob",M,10/11/59,Republican,SC,4,111,bobinglis,10/1/08,2008,1/3/09,1/3/11,-50,1.00,,Has Twitter
LaR-OH05,"Latta, Robert E.",M,4/18/56,Republican,OH,5,111,boblatta,1/1/08,2008,1/3/09,1/3/11,-47,1.00,,Has Twitter
NeR-OH18,"Ney, Robert W.",M,7/5/54,Republican,OH,18,0,bobney,9/1/08,2008,,,,1.00,,
EtB-NC02,"Etheridge, Bob",M,8/7/41,Democratic,NC,2,111,bobretheridge,11/1/10,2010,1/3/09,1/3/11,-32,1.00,1,Has Twitter
BoN-KS02,"Boyda, Nancy E.",F,8/2/55,Democratic,KS,2,0,BoydaNancy,5/1/19,2019,,,,,,
QuB-AZ03,"Quayle, Benjamin",M,11/3/76,Republican,AZ,3,0,bquayle,2/1/10,2010,,,,1.00,1,
ByB-AL01,"Byrne, Bradley",M,2/16/55,Republican,AL,1,0,BradleyByrne,5/1/09,2009,,,,1.00,1,
