uniqueid,fullname,gender,dob,party,stateabr,district,congress118,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,twitterever,joined118,NT
ScA-IL18,"Schock, Aaron",M,5/28/81,Republican,IL,18,0,aaronschock,3/1/09,2009,,,,,,
FiA-IA01,"Finkenauer, Abby",F,12/27/88,Democratic,IA,1,0,Abby4Iowa,3/1/15,2015,,,,,,
PuA-FL12,"Putnam, Adam H.",M,7/31/74,Republican,FL,12,0,adamputnam,6/1/09,2009,,,,,,
LaJ-LA03,"Landry, Jeffrey M.",M,12/23/70,Republican,LA,3,0,AGJeffLandry,11/1/10,2010,,,,,,
GrT-AR02,"Griffin, Tim",M,8/21/68,Republican,AR,2,0,AGTimGriffin,10/1/10,2010,,,,,,
GrA-FL09,"Grayson, Alan",M,3/13/58,Democratic,FL,9,0,AlanGrayson,5/1/09,2009,,,,,,
NuA-MS01,"Nunnelee, Alan",M,10/9/58,Republican,MS,1,0,AlanNunnelee,4/1/09,2009,,,,,,
SiA-NJ08,"Sires, Albio",M,1/26/51,Democratic,NJ,8,0,AlbioSiresNJ,4/1/12,2012,,,,,,
HaA-FL20,"Hastings, Alcee L.",M,9/5/36,Democratic,FL,20,0,AlceeHastingsFL,11/1/13,2013,,,,,,
LaA-FL05,"Lawson, Al, Jr.",M,9/23/48,Democratic,FL,5,0,AlLawsonJr,11/1/09,2009,,,,,,
WeA-FL22,"West, Allen B.",M,2/7/61,Republican,FL,22,0,AllenWest,1/1/11,2011,,,,,,
ScA-PA13,"Schwartz, Allyson Y.",F,10/3/48,Democratic,PA,13,0,allysonschwartz,4/1/13,2013,,,,,,
CrA-FL04,"Crenshaw, Ander",M,9/1/44,Republican,FL,4,0,AnderCrenshaw,2/1/09,2009,,,,,,
BuA-NY25,"Buerkle, Ann Marie",F,5/8/51,Republican,NY,25,0,annmbuerkle,11/1/10,2010,,,,,,
DaA-AL07,"Davis, Artur",M,10/9/67,Democratic,AL,7,0,ArturDavis,1/1/09,2009,,,,,,
MiG-CA11,"Miller, George",M,5/17/45,Democratic,CA,11,0,askgeorge,7/1/07,2007,,,,,,
LoB-MO07,"Long, Billy",M,8/11/55,Republican,MO,7,0,auctnr1,2/1/09,2009,,,,,,
CoM-CO06,"Coffman, Mike",M,3/19/55,Republican,CO,6,0,AuroraMayorMike,7/1/19,2019,,,,,,
ScA-GA08,"Scott, Austin",M,12/10/69,Republican,GA,8,118,AustinScottGA08,1/1/11,2011,1/3/23,1/3/25,-46,1.00,,Has Twitter
AxC-IA03,"Axne, Cynthia",F,4/20/65,Democratic,IA,3,0,Axne4Congress,5/1/17,2017,,,,,,
BaS-AL06,"Bachus, Spencer",M,12/28/47,Republican,AL,6,0,BachusAL06,9/1/09,2009,,,,,,
CoB-VA10,"Comstock, Barbara",F,6/30/59,Republican,VA,10,0,BarbaraComstock,5/1/09,2009,,,,,,
FrB-MA04,"Frank, Barney",M,3/31/40,Democratic,MA,4,0,BarneyFrank,7/1/13,2013,,,,,,
HiB-IN09,"Hill, Baron P.",M,6/23/53,Democratic,IN,9,0,BaronHill2016,2/1/10,2010,,,,,,
McB-UT04,"McAdams, Ben",M,12/5/74,Democratic,UT,4,0,BenMcAdams,6/1/09,2009,,,,,,
ThB-MS02,"Thompson, Bennie G.",M,1/28/48,Democratic,MS,2,118,BennieGThompson,1/1/09,2009,1/3/23,1/3/25,-25,1.00,,Has Twitter
BeS-NV01,"Berkley, Shelley",F,1/20/51,Democratic,NV,1,0,Berkley4Senate,4/1/11,2011,,,,,,
O'B-TX16,"O''Rourke, Beto",M,9/26/72,Democratic,TX,16,0,BetoORourke,7/1/11,2011,,,,,,
MaB-CO04,"Markey, Betsy",F,4/27/56,Democratic,CO,4,0,BetsyMarkey,6/1/09,2009,,,,,,
McB-MN04,"McCollum, Betty",F,7/12/54,Democratic,MN,4,118,BettyMcCollum04,1/1/12,2012,1/3/23,1/3/25,-31,1.00,,Has Twitter
SuB-OH13,"Sutton, Betty",F,7/31/63,Democratic,OH,13,0,BettySutton,4/1/10,2010,,,,,,
